Model_Name,Location,Car_Age,Mileage,Engine,Horsepower,Price,Price_per_HP
Mahindra XUV500 AT W10 FWD,Coimbatore,7,16.0,2179.0,140.0,16.52,0.118
Mahindra XUV500 AT W10 FWD,Delhi,8,16.0,2179.0,140.0,16.5,0.11785714285714285
Toyota Etios 1.4 VXD,Pune,7,23.59,1364.0,67.04,7.9,0.11784009546539378
Ford Ecosport Signature Edition Diesel,Coimbatore,6,23.0,1498.0,98.96,11.65,0.11772433306386419
Jeep Compass 2.0 Limited Option 4X4,Jaipur,8,16.3,1956.0,170.0,20.0,0.11764705882352941
Jeep Compass 2.0 Limited 4X4,Mumbai,8,16.3,1956.0,170.0,20.0,0.11764705882352941
Mahindra XUV500 AT W10 FWD,Kochi,7,16.0,2179.0,140.0,16.46,0.11757142857142858
Maruti Baleno Alpha Diesel,Mumbai,7,27.39,1248.0,74.0,8.7,0.11756756756756756
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,8,11.36,2755.0,171.5,20.14,0.11743440233236152
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,8,19.67,1582.0,126.2,14.82,0.11743264659270998
Maruti Omni 5 Seater BSIV,Coimbatore,6,14.0,796.0,35.0,4.11,0.11742857142857144
Hyundai Creta 1.6 CRDi AT SX Plus,Coimbatore,8,17.01,1582.0,126.2,14.79,0.11719492868462757
Maruti Swift DDiS ZDI Plus,Hyderabad,7,28.4,1248.0,74.0,8.65,0.11689189189189189
Mahindra XUV500 W10 2WD,Kochi,7,16.0,2179.0,140.0,16.36,0.11685714285714285
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,8,24.3,1248.0,88.5,10.34,0.1168361581920904
Toyota Innova Crysta 2.8 ZX AT,Kochi,8,11.36,2755.0,171.5,19.97,0.11644314868804664
Toyota Innova Crysta 2.8 ZX AT,Kochi,7,11.36,2755.0,171.5,19.92,0.11615160349854228
Tata Hexa XTA,Coimbatore,6,17.6,2179.0,153.86,17.85,0.11601455868971793
Maruti Dzire AMT ZDI Plus,Kochi,7,28.4,1248.0,73.75,8.55,0.11593220338983051
Mahindra XUV500 W10 2WD,Coimbatore,8,16.0,2179.0,140.0,16.13,0.11521428571428571
Maruti Vitara Brezza ZDi Plus,Kochi,7,24.3,1248.0,88.5,10.19,0.1151412429378531
Maruti Swift Dzire VDI Optional,Kochi,6,26.59,1248.0,74.0,8.51,0.11499999999999999
Hyundai Creta 1.6 CRDi AT SX Plus,Chennai,8,17.01,1582.0,126.2,14.5,0.11489698890649762
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,8,19.6,1461.0,108.45,12.46,0.1148916551406178
Maruti Baleno Delta 1.3,Hyderabad,7,27.39,1248.0,74.0,8.5,0.11486486486486487
Maruti Baleno Delta 1.3,Hyderabad,8,27.39,1248.0,74.0,8.5,0.11486486486486487
Mahindra XUV500 W10 2WD,Coimbatore,8,16.0,2179.0,140.0,16.08,0.11485714285714284
Maruti Vitara Brezza ZDi Plus,Coimbatore,7,24.3,1248.0,88.5,10.15,0.11468926553672316
Toyota Innova Crysta 2.4 VX MT,Kolkata,8,13.68,2393.0,147.8,16.95,0.11468200270635993
Toyota Innova Crysta 2.8 GX AT,Kochi,6,11.36,2755.0,171.5,19.65,0.11457725947521866
Isuzu MUX 4WD,Jaipur,8,13.8,2999.0,174.57,20.0,0.11456722231769491
Toyota Innova Crysta 2.8 GX AT,Kochi,6,11.36,2755.0,171.5,19.64,0.11451895043731779
Jeep Compass 2.0 Longitude,Kochi,7,17.1,1956.0,170.0,19.46,0.11447058823529413
Maruti Baleno Alpha CVT,Kochi,6,21.4,1197.0,83.1,9.51,0.11444043321299639
Mahindra Bolero mHAWK D70 ZLX,Hyderabad,8,16.5,1493.0,70.0,8.0,0.11428571428571428
Mahindra XUV500 W10 AWD,Jaipur,8,16.0,2179.0,140.0,16.0,0.11428571428571428
Mahindra XUV500 W9 AT,Coimbatore,6,14.0,2179.0,155.0,17.63,0.11374193548387096
Mahindra XUV500 W10 2WD,Jaipur,8,16.0,2179.0,140.0,15.9,0.11357142857142857
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,8,13.0,1591.0,121.3,13.77,0.113520197856554
Maruti Swift DDiS VDI,Coimbatore,6,28.4,1248.0,74.0,8.4,0.11351351351351352
Maruti Baleno Alpha Diesel,Hyderabad,8,27.39,1248.0,74.0,8.4,0.11351351351351352
Maruti Dzire AMT VDI,Coimbatore,7,28.4,1248.0,73.75,8.37,0.1134915254237288
Hyundai Verna 1.6 CRDI SX Option,Kochi,6,23.9,1582.0,126.2,14.28,0.11315372424722661
Toyota Innova Crysta 2.8 GX AT,Kochi,6,11.36,2755.0,171.5,19.4,0.11311953352769678
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,8,21.5,1498.0,108.5,12.25,0.11290322580645161
Ford EcoSport 1.5 TDCi Trend Plus BE,Coimbatore,6,22.77,1498.0,98.59,11.13,0.11289177401359164
Toyota Innova Crysta 2.8 ZX AT,Mumbai,8,11.36,2755.0,171.5,19.25,0.11224489795918367
Jeep Compass 2.0 Longitude,Coimbatore,7,17.1,1956.0,170.0,19.05,0.11205882352941177
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,6,15.29,1591.0,121.3,13.56,0.11178895300906844
Jeep Compass 2.0 Limited,Jaipur,7,17.1,1956.0,170.0,19.0,0.11176470588235295
Maruti Vitara Brezza ZDi,Coimbatore,8,24.3,1248.0,88.5,9.88,0.11163841807909605
Toyota Innova Crysta 2.4 GX MT,Chennai,8,13.68,2393.0,147.8,16.5,0.11163734776725304
Toyota Innova Crysta 2.4 G MT 8S,Mumbai,8,13.68,2393.0,147.8,16.5,0.11163734776725304
Toyota Innova Crysta 2.4 VX MT,Hyderabad,8,13.68,2393.0,147.8,16.5,0.11163734776725304
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,8,13.68,2393.0,147.8,16.5,0.11163734776725304
Honda WRV i-VTEC VX,Kochi,7,17.5,1199.0,88.7,9.9,0.11161217587373168
Hyundai Creta 1.4 E Plus Diesel,Mumbai,8,21.38,1396.0,88.7,9.9,0.11161217587373168
Honda City i DTec VX,Ahmedabad,8,26.0,1498.0,98.6,11.0,0.11156186612576066
Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,8,13.0,1591.0,121.3,13.49,0.1112118713932399
Maruti Dzire ZDI Plus,Jaipur,8,28.4,1248.0,73.75,8.2,0.1111864406779661
Maruti Omni E MPI STD BS IV,Kochi,6,16.8,796.0,34.2,3.8,0.11111111111111109
Jeep Compass 1.4 Limited Option,Mumbai,8,16.0,1368.0,160.0,17.75,0.1109375
Maruti Swift DDiS ZDI Plus,Hyderabad,8,28.4,1248.0,74.0,8.2,0.1108108108108108
Mahindra XUV500 AT W10 FWD,Mumbai,8,16.0,2179.0,140.0,15.5,0.11071428571428571
Honda City i DTEC VX Option,Coimbatore,8,25.1,1498.0,98.6,10.88,0.11034482758620691
Maruti Ciaz ZDi Plus SHVS,Jaipur,8,28.09,1248.0,88.5,9.75,0.11016949152542373
Maruti Vitara Brezza ZDi,Bangalore,8,24.3,1248.0,88.5,9.75,0.11016949152542373
Maruti Ertiga SHVS VDI,Hyderabad,8,24.52,1248.0,88.5,9.75,0.11016949152542373
Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,8,23.65,1248.0,88.5,9.75,0.11016949152542373
Ford Ecosport Signature Edition Diesel,Ahmedabad,7,23.0,1498.0,98.96,10.9,0.11014551333872273
Skoda Rapid 1.5 TDI Ambition,Coimbatore,7,21.13,1498.0,108.4,11.92,0.1099630996309963
Honda BR-V i-DTEC VX MT,Kochi,8,21.9,1498.0,98.6,10.79,0.10943204868154158
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,8,19.6,1461.0,108.45,11.86,0.10935915168280312
Maruti Ciaz 1.4 Zeta,Kochi,7,20.73,1373.0,91.1,9.96,0.10933040614709112
Hyundai Creta 1.6 SX Option Executive,Coimbatore,7,15.8,1591.0,121.3,13.25,0.10923330585325638
Maruti Ciaz 1.4 AT Alpha,Hyderabad,8,19.12,1373.0,91.1,9.95,0.10922063666300769
Hyundai Creta 1.6 CRDi SX Option,Coimbatore,8,19.67,1582.0,126.2,13.78,0.1091917591125198
Maruti Swift Dzire AMT ZDI,Coimbatore,8,26.59,1248.0,74.0,8.08,0.10918918918918918
Hyundai Elantra 2.0 SX Option AT,Delhi,8,14.62,1999.0,149.92,16.35,0.10905816435432232
Hyundai Creta 1.6 CRDi SX Option,Pune,8,19.67,1582.0,126.2,13.75,0.1089540412044374
Hyundai Elite i20 Petrol Asta,Kochi,8,18.6,1197.0,81.86,8.91,0.10884436843391156
Jeep Compass 2.0 Limited,Pune,7,17.1,1956.0,170.0,18.5,0.10882352941176471
Hyundai Creta 1.6 SX,Hyderabad,7,15.8,1591.0,121.3,13.2,0.10882110469909316
Hyundai i20 1.2 Asta Option,Hyderabad,7,18.6,1197.0,81.83,8.9,0.10876206770133204
Mahindra Scorpio S10 4WD,Kochi,8,15.4,2179.0,120.0,13.05,0.10875
Maruti Ciaz 1.4 Alpha,Kochi,7,20.73,1373.0,91.1,9.9,0.10867178924259058
Hyundai Creta 1.6 CRDi SX,Coimbatore,8,19.67,1582.0,126.2,13.69,0.10847860538827257
Maruti Vitara Brezza VDi Option,Coimbatore,8,24.3,1248.0,88.5,9.58,0.10824858757062147
Honda City i-VTEC CVT ZX,Mumbai,8,18.0,1497.0,117.3,12.69,0.1081841432225064
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,8,15.29,1591.0,121.3,13.12,0.10816158285243198
Tata Tigor 1.05 Revotorq XZ Option,Kochi,6,24.7,1047.0,69.0,7.46,0.1081159420289855
Maruti Swift AMT DDiS VDI,Chennai,7,28.4,1248.0,74.0,8.0,0.10810810810810811
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,8,24.3,1248.0,88.5,9.51,0.10745762711864407
Maruti Swift Dzire VDI,Hyderabad,8,26.59,1248.0,74.0,7.95,0.10743243243243243
Honda Amaze VX i-VTEC,Coimbatore,6,17.8,1198.0,86.7,9.31,0.10738177623990773
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,8,19.67,1582.0,126.2,13.55,0.10736925515055468
Hyundai Creta 1.6 CRDi SX,Coimbatore,6,19.67,1582.0,126.2,13.54,0.10729001584786053
Hyundai Elite i20 Asta Option,Coimbatore,6,18.6,1197.0,81.86,8.78,0.10725629122892744
Maruti Vitara Brezza ZDi Plus,Hyderabad,8,24.3,1248.0,88.5,9.49,0.1072316384180791
Maruti Ciaz 1.3 Alpha,Kochi,7,28.09,1248.0,88.5,9.48,0.10711864406779661
Toyota Innova Crysta 2.8 GX AT,Kochi,8,11.36,2755.0,171.5,18.36,0.10705539358600583
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,8,24.3,1248.0,88.5,9.44,0.10666666666666666
Honda City i-VTEC CVT VX,Pune,7,18.0,1497.0,117.3,12.5,0.10656436487638533
Honda City i VTEC CVT VX,Hyderabad,8,18.0,1497.0,117.3,12.5,0.10656436487638533
Maruti Baleno Alpha CVT,Mumbai,7,21.4,1197.0,83.1,8.85,0.10649819494584838
Toyota Innova Crysta 2.8 GX AT 8S,Delhi,8,11.36,2755.0,171.5,18.25,0.10641399416909621
Maruti Vitara Brezza VDi Option,Hyderabad,7,24.3,1248.0,88.5,9.4,0.10621468926553673
Maruti Vitara Brezza ZDi Plus Dual Tone,Kochi,8,24.3,1248.0,88.5,9.38,0.10598870056497176
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,7,17.0,1591.0,121.3,12.85,0.10593569661995053
Maruti Baleno Zeta 1.3,Coimbatore,7,27.39,1248.0,74.0,7.83,0.10581081081081081
Hyundai Creta 1.6 SX Plus Diesel,Pune,8,19.67,1582.0,126.2,13.35,0.10578446909667194
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,8,22.7,1498.0,89.84,9.5,0.10574354407836153
Hyundai Creta 1.6 SX Plus Diesel,Kochi,7,19.67,1582.0,126.2,13.34,0.10570522979397781
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,8,19.6,1461.0,108.45,11.44,0.10548639926233286
Hyundai Creta 1.6 CRDi SX,Hyderabad,8,19.67,1582.0,126.2,13.3,0.10538827258320127
Maruti Ciaz ZDi Plus,Coimbatore,7,26.21,1248.0,88.5,9.32,0.10531073446327684
Hyundai Creta 1.6 CRDi SX,Kochi,8,19.67,1582.0,126.2,13.28,0.10522979397781299
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,7,15.29,1591.0,121.3,12.75,0.10511129431162408
Hyundai Creta 1.6 SX Plus Petrol Automatic,Ahmedabad,8,13.0,1591.0,121.3,12.75,0.10511129431162408
Hyundai i20 Active SX Dual Tone Petrol,Pune,6,17.19,1197.0,81.86,8.6,0.10505741509894942
Toyota Innova Crysta 2.8 GX AT,Pune,7,11.36,2755.0,171.5,18.0,0.10495626822157435
Honda WRV i-VTEC VX,Kochi,7,17.5,1199.0,88.7,9.29,0.10473506200676436
Maruti Baleno Zeta 1.2,Coimbatore,6,21.4,1197.0,83.1,8.7,0.10469314079422383
Maruti Omni MPI STD BSIV,Coimbatore,8,16.8,796.0,34.2,3.58,0.10467836257309941
Maruti Vitara Brezza ZDi Plus Dual Tone,Ahmedabad,8,24.3,1248.0,88.5,9.25,0.10451977401129943
Maruti Ertiga VDI,Mumbai,7,25.47,1248.0,88.5,9.25,0.10451977401129943
Honda Jazz 1.2 V CVT i VTEC,Coimbatore,7,19.0,1199.0,88.7,9.27,0.10450958286358511
Maruti Dzire AMT ZXI Plus,Hyderabad,8,22.0,1197.0,81.8,8.5,0.1039119804400978
Hyundai Creta 1.6 SX Plus Petrol Automatic,Kochi,7,13.0,1591.0,121.3,12.6,0.10387469084913438
Mahindra XUV500 W8 4WD,Kolkata,8,16.0,2179.0,140.0,14.5,0.10357142857142858
Maruti Baleno Alpha Automatic,Hyderabad,8,21.4,1197.0,83.1,8.6,0.10348977135980747
Hyundai i20 Asta Option 1.4 CRDi,Coimbatore,8,22.54,1396.0,88.73,9.18,0.10345993463315677
Hyundai i20 1.4 Sportz,Coimbatore,7,22.54,1396.0,88.73,9.18,0.10345993463315677
Mahindra Scorpio S6 7 Seater,Kochi,7,15.4,2179.0,120.0,12.4,0.10333333333333333
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,8,15.29,1591.0,121.3,12.53,0.10329760923330585
Jeep Compass 2.0 Longitude,Kochi,7,17.1,1956.0,170.0,17.55,0.10323529411764706
Maruti Vitara Brezza ZDi Plus,Kochi,8,24.3,1248.0,88.5,9.13,0.1031638418079096
Honda Jazz 1.2 V CVT i VTEC,Coimbatore,7,19.0,1199.0,88.7,9.15,0.10315670800450959
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,8,16.05,1499.0,110.4,11.37,0.1029891304347826
Honda City i VTEC CVT VX,Kochi,7,18.0,1497.0,117.3,12.08,0.10298380221653879
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,8,15.29,1591.0,121.3,12.49,0.10296784830997527
Jeep Compass 2.0 Limited Option 4X4,Kolkata,8,16.3,1956.0,170.0,17.5,0.10294117647058823
Jeep Compass 2.0 Limited Option Black,Mumbai,8,17.1,1956.0,170.0,17.45,0.10264705882352941
Maruti Vitara Brezza ZDi,Coimbatore,8,24.3,1248.0,88.5,9.05,0.10225988700564972
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,7,14.8,1497.0,121.36,12.41,0.10225774555042848
Hyundai Creta 1.6 CRDi SX,Mumbai,8,19.67,1582.0,126.2,12.9,0.10221870047543581
Toyota Etios Cross 1.4 GD,Coimbatore,7,23.59,1364.0,67.04,6.85,0.10217780429594271
Mahindra Scorpio 1.99 S8,Delhi,8,15.4,1997.0,120.0,12.25,0.10208333333333333
Honda City i-VTEC CVT VX,Kochi,7,18.0,1497.0,117.3,11.97,0.1020460358056266
Maruti Baleno Zeta Automatic,Coimbatore,7,21.4,1197.0,83.1,8.47,0.1019253910950662
Hyundai Elite i20 Petrol Asta,Coimbatore,7,18.6,1197.0,81.86,8.34,0.10188126068898119
Maruti Ciaz 1.4 Zeta,Mumbai,7,20.73,1373.0,91.1,9.28,0.10186608122941822
Volkswagen Polo 1.2 MPI Highline,Coimbatore,7,16.47,1198.0,74.0,7.53,0.10175675675675676
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,8,15.29,1591.0,121.3,12.34,0.10173124484748558
Maruti Vitara Brezza ZDi Plus,Jaipur,8,24.3,1248.0,88.5,9.0,0.1016949152542373
Hyundai Creta 1.6 CRDi SX,Kochi,8,19.67,1582.0,126.2,12.81,0.10150554675118859
Maruti Dzire AMT ZXI Plus,Coimbatore,6,22.0,1197.0,81.8,8.3,0.10146699266503668
Maruti Swift AMT VDI,Delhi,7,28.4,1248.0,74.0,7.5,0.10135135135135136
Maruti Swift Dzire ZDI,Kolkata,8,26.59,1248.0,74.0,7.5,0.10135135135135136
Maruti Swift Dzire VDI,Ahmedabad,8,26.59,1248.0,74.0,7.5,0.10135135135135136
Honda City i VTEC VX Option,Coimbatore,6,17.4,1497.0,117.3,11.87,0.10119352088661551
Maruti Baleno Alpha 1.3,Kochi,7,27.39,1248.0,74.0,7.48,0.10108108108108109
Maruti Ciaz 1.4 AT Alpha,Delhi,8,19.12,1373.0,91.1,9.2,0.10098792535675082
Maruti S-Cross Delta DDiS 200 SH,Delhi,7,25.1,1248.0,88.5,8.92,0.1007909604519774
Maruti Ciaz 1.3 Alpha,Delhi,8,28.09,1248.0,88.5,8.9,0.10056497175141244
Hyundai i20 Active 1.2 SX,Coimbatore,7,17.19,1197.0,81.86,8.22,0.10041534326899586
Honda WRV i-VTEC VX,Hyderabad,8,17.5,1199.0,88.7,8.9,0.10033821871476889
Jeep Compass 2.0 Longitude,Kochi,7,17.1,1956.0,170.0,17.02,0.10011764705882353
Hyundai i20 Active 1.2 SX,Coimbatore,8,17.19,1197.0,81.86,8.19,0.1000488639139995
Hyundai Creta 1.6 SX Option,Kochi,7,15.8,1591.0,121.3,12.13,0.1
Hyundai Creta 1.6 CRDi SX,Pune,8,19.67,1582.0,126.2,12.6,0.09984152139461172
Honda Amaze V CVT Petrol,Kochi,6,19.0,1199.0,88.76,8.86,0.09981973862100044
Jeep Compass 2.0 Sport,Hyderabad,8,17.1,1956.0,170.0,16.9,0.09941176470588234
Honda City i-VTEC CVT V,Kochi,6,18.0,1497.0,117.3,11.66,0.09940323955669225
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,8,15.29,1591.0,121.3,12.03,0.09917559769167353
Hyundai i20 Asta Option 1.2,Coimbatore,8,18.6,1197.0,81.83,8.11,0.09910790663570818
Hyundai Creta 1.6 CRDi SX,Delhi,8,19.67,1582.0,126.2,12.5,0.09904912836767037
Honda City i-VTEC CVT VX,Mumbai,8,18.0,1497.0,117.3,11.6,0.0988917306052856
Maruti Vitara Brezza ZDi,Kolkata,7,24.3,1248.0,88.5,8.75,0.09887005649717515
Mahindra Thar CRDe AC,Coimbatore,6,16.55,2498.0,105.0,10.36,0.09866666666666667
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,7,17.0,1198.0,73.75,7.27,0.09857627118644068
Honda City V MT Exclusive,Kochi,6,16.8,1497.0,116.3,11.45,0.09845227858985382
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,8,15.29,1591.0,121.3,11.94,0.09843363561417971
Maruti Ertiga SHVS VDI,Ahmedabad,7,24.52,1248.0,88.5,8.7,0.0983050847457627
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,8,17.0,1198.0,73.75,7.23,0.09803389830508476
Maruti Swift Dzire VDI,Mumbai,8,23.4,1248.0,74.0,7.25,0.09797297297297297
Hyundai Verna VTVT 1.6 SX Option,Kochi,6,17.0,1591.0,121.3,11.88,0.09793899422918385
Maruti Ciaz AT ZXi,Coimbatore,8,19.12,1373.0,91.1,8.89,0.09758507135016467
Hyundai i20 1.2 Asta Option,Coimbatore,8,18.6,1197.0,81.83,7.98,0.09751924721984603
Maruti Vitara Brezza ZDi Plus,Kochi,7,24.3,1248.0,88.5,8.63,0.09751412429378532
Maruti Vitara Brezza VDi Option,Kochi,7,24.3,1248.0,88.5,8.62,0.09740112994350282
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,8,22.7,1498.0,89.84,8.75,0.0973953695458593
Maruti Vitara Brezza LDi,Kochi,8,24.3,1248.0,88.5,8.61,0.09728813559322033
Hyundai Creta 1.6 SX,Coimbatore,7,15.8,1591.0,121.3,11.78,0.09711459192085738
Hyundai i20 1.4 Sportz,Coimbatore,6,22.54,1396.0,88.73,8.61,0.09703595176377774
Hyundai Elite i20 Petrol Asta,Kochi,7,18.6,1197.0,81.86,7.93,0.09687270950403128
Skoda Rapid 1.5 TDI AT Style,Kolkata,8,21.72,1498.0,108.4,10.5,0.09686346863468634
Skoda Rapid 1.5 TDI Style,Hyderabad,8,21.13,1498.0,108.4,10.5,0.09686346863468634
Mahindra XUV500 W10 2WD,Kochi,8,16.0,2179.0,140.0,13.54,0.09671428571428571
Maruti Swift VDI,Hyderabad,7,28.4,1248.0,74.0,7.15,0.09662162162162162
Maruti Ciaz Zeta,Kochi,7,21.56,1462.0,103.25,9.95,0.09636803874092009
Skoda Superb Style 1.8 TSI AT,Kochi,8,14.67,1798.0,177.46,17.08,0.09624704158683646
Tata Tigor 1.05 Revotorq XT,Kochi,7,24.7,1047.0,69.0,6.64,0.096231884057971
Skoda Octavia Elegance 1.8 TSI AT,Kochi,8,14.7,1798.0,177.5,17.08,0.09622535211267605
Hyundai Xcent 1.1 CRDi S,Kochi,8,24.4,1120.0,71.0,6.83,0.09619718309859156
Maruti Ciaz 1.4 Delta,Coimbatore,7,20.73,1373.0,91.1,8.76,0.09615806805708013
Hyundai Creta 1.6 CRDi SX Option,Kochi,8,19.67,1582.0,126.2,12.13,0.09611727416798732
Maruti Ciaz VDi Plus SHVS,Jaipur,8,28.09,1248.0,88.5,8.5,0.096045197740113
Maruti S Cross DDiS 200 Sigma Option,Pune,8,15.0,1248.0,88.5,8.5,0.096045197740113
Ford EcoSport 1.5 TDCi Titanium,Kochi,7,22.77,1498.0,98.59,9.46,0.09595293640328634
Maruti Ertiga VDI,Kochi,7,25.47,1248.0,88.5,8.49,0.09593220338983051
Honda City i VTEC VX Option,Ahmedabad,7,17.4,1497.0,117.3,11.25,0.0959079283887468
Honda City i DTEC VX,Kochi,8,25.1,1498.0,98.6,9.44,0.09574036511156186
Hyundai Grand i10 Asta Option,Coimbatore,8,18.9,1197.0,82.0,7.85,0.09573170731707317
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,8,17.1,1591.0,121.4,11.6,0.09555189456342668
Renault KWID RXT Optional,Kochi,6,25.17,799.0,53.3,5.09,0.09549718574108819
Honda Jazz VX,Kochi,7,18.2,1199.0,88.7,8.46,0.09537767756482526
Hyundai i20 1.2 Spotz,Coimbatore,7,18.6,1197.0,81.83,7.8,0.09531956495172919
Maruti Swift VDI Optional,Coimbatore,7,25.2,1248.0,74.0,7.05,0.09527027027027027
Hyundai Verna 1.6 SX VTVT,Coimbatore,6,17.01,1591.0,121.3,11.54,0.09513602638087386
Honda City i-VTEC VX,Mumbai,8,17.4,1497.0,117.3,11.15,0.09505541346973573
Hyundai i20 1.2 Asta Option,Coimbatore,7,18.6,1197.0,81.83,7.77,0.0949529512403764
Maruti Baleno Delta Automatic,Kochi,7,21.4,1197.0,83.1,7.89,0.09494584837545127
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,6,17.0,1591.0,121.3,11.5,0.09480626545754328
Maruti Vitara Brezza LDi,Kochi,7,24.3,1248.0,88.5,8.39,0.09480225988700565
Maruti Swift ZXI Plus,Ahmedabad,7,22.0,1197.0,81.8,7.75,0.09474327628361859
Hyundai i20 1.2 Asta Option,Hyderabad,8,18.6,1197.0,81.83,7.75,0.09470854209947452
Maruti Baleno Delta 1.3,Delhi,8,27.39,1248.0,74.0,6.96,0.09405405405405405
Skoda Rapid 1.6 MPI AT Style,Kochi,7,14.3,1598.0,103.52,9.72,0.09389489953632149
Maruti Ciaz VDi Plus SHVS,Delhi,8,28.09,1248.0,88.5,8.3,0.09378531073446328
Hyundai i20 Sportz Option 1.2,Kochi,6,18.6,1197.0,81.83,7.67,0.09373090553586705
Hyundai i20 1.2 Spotz,Kochi,7,18.6,1197.0,81.83,7.65,0.09348649639496517
Ford EcoSport 1.5 Diesel Titanium,Coimbatore,7,23.0,1498.0,98.96,9.25,0.09347210994341149
Maruti Baleno Delta 1.2,Coimbatore,7,21.4,1197.0,83.1,7.76,0.09338146811070999
Volkswagen Polo Diesel Highline 1.2L,Chennai,8,22.07,1199.0,73.9,6.9,0.09336941813261164
Maruti Ciaz 1.3 S,Coimbatore,8,28.09,1248.0,88.5,8.26,0.09333333333333334
Skoda Rapid 1.6 MPI Ambition,Coimbatore,6,15.41,1598.0,103.52,9.66,0.09331530139103555
Maruti Baleno Zeta Automatic,Jaipur,7,21.4,1197.0,83.1,7.75,0.09326113116726836
Volkswagen Polo 1.2 MPI Highline Plus,Hyderabad,8,16.2,1199.0,74.0,6.9,0.09324324324324325
Hyundai Creta 1.6 SX Option,Kochi,8,15.8,1591.0,121.3,11.31,0.093239901071723
Toyota Etios Cross 1.4 GD,Ahmedabad,8,23.59,1364.0,67.04,6.25,0.09322792362768495
Maruti Ertiga VDI,Kochi,8,20.77,1248.0,88.76,8.27,0.09317260027039206
Maruti Baleno Alpha 1.2,Kochi,8,21.4,1197.0,83.1,7.74,0.09314079422382672
Honda WRV i-VTEC VX,Ahmedabad,8,17.5,1199.0,88.7,8.25,0.09301014656144306
Honda Jazz Exclusive CVT,Mumbai,7,19.0,1199.0,88.7,8.25,0.09301014656144306
Hyundai Grand i10 AT Asta,Coimbatore,8,18.9,1197.0,82.0,7.6,0.09268292682926829
Hyundai i20 1.2 Spotz,Coimbatore,7,18.6,1197.0,81.83,7.58,0.09263106440180863
Tata Hexa XT,Pune,8,17.6,2179.0,153.86,14.25,0.09261666450019497
Tata Nano XT,Coimbatore,8,23.9,624.0,37.48,3.47,0.09258271077908219
Honda WR-V Edge Edition i-VTEC S,Kochi,6,17.5,1199.0,88.7,8.2,0.09244644870349492
Hyundai i20 1.4 Asta Option,Bangalore,8,22.54,1396.0,88.73,8.2,0.0924151921559788
Volkswagen Polo 1.5 TDI Highline,Coimbatore,7,20.14,1498.0,88.0,8.12,0.09227272727272727
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,7,18.9,1197.0,81.86,7.55,0.09223063767407769
Volkswagen Vento 1.5 TDI Highline,Hyderabad,8,20.64,1498.0,108.5,10.0,0.09216589861751152
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,6,18.16,1197.0,78.9,7.27,0.09214195183776931
Mahindra Thar CRDe,Coimbatore,8,16.55,2498.0,105.0,9.66,0.092
Hyundai Elite i20 Asta Option,Coimbatore,8,18.6,1197.0,81.86,7.53,0.09198631810408014
Hyundai i20 1.2 Asta Option,Jaipur,8,18.6,1197.0,81.83,7.5,0.09165342783820116
Maruti Ertiga SHVS VDI,Chennai,8,24.52,1248.0,88.5,8.1,0.09152542372881356
Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Mumbai,7,21.5,1497.0,108.5,9.9,0.0912442396313364
Maruti Swift Dzire AMT ZDI,Chennai,6,26.59,1248.0,74.0,6.75,0.09121621621621621
Hyundai Verna CRDi 1.6 SX Option,Pune,8,22.0,1582.0,126.2,11.5,0.09112519809825673
